Participant,Widget,Location,TaskType,SelectionMethod,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
P9,Vertical,Left,1D,DT500,5,100.0,60.0,104.0,4.000000000000009,1876,538,2415,0,0,0,0,0,9.256083150133486e-15,32.00000000000001,32.00000000000001
P9,Vertical,Left,1D,DT500,6,100.0,60.0,102.0,1.999999999999991,1445,537,1983,0,0,0,0,0,1.4497585446930778e-14,32.0,32.0
P9,Vertical,Right,1D,DT500,0,250.0,40.0,252.0,2.0,3271,542,3814,0,0,0,0,0,1.8065023124811807e-14,0.9999999999999694,0.9999999999999694
P9,Vertical,Right,1D,DT500,1,250.0,40.0,263.0,12.999999999999972,2659,544,3203,0,0,0,0,0,1.9926103713784326e-14,1.0000000000000313,1.0000000000000313
P9,Vertical,Right,1D,DT500,2,250.0,40.0,261.0,11.000000000000028,3100,503,3603,0,0,0,0,0,2.078657550330005e-14,0.9999999999999712,0.9999999999999712
P9,Vertical,Right,1D,DT500,3,250.0,40.0,255.0,5.0,2938,516,3454,0,0,0,0,0,1.9321790762301937e-14,1.000000000000031,1.000000000000031
P9,Vertical,Right,1D,DT500,4,250.0,40.0,253.0,3.0,2672,513,3186,0,0,0,0,0,1.9481926506619013e-14,0.9999999999999682,0.9999999999999682
P9,Vertical,Right,1D,DT500,5,250.0,40.0,248.0,-2.0000000000000147,3217,510,3727,0,0,0,0,0,1.885297414101043e-14,1.0000000000000306,1.0000000000000306
P9,Vertical,Right,1D,DT500,6,250.0,40.0,244.0,-6.0,2496,537,3034,0,0,0,0,0,1.858892984719193e-14,0.9999999999999694,0.9999999999999694
P9,Vertical,Right,1D,DT500,0,100.0,60.0,100.0,9.094947017729284e-15,1881,540,2422,0,0,0,0,0,1.0095584626684811e-14,7.999999999999994,7.999999999999994
P9,Vertical,Right,1D,DT500,1,100.0,60.0,114.0,14.000000000000009,1432,551,1984,0,0,0,0,0,1.0215839468868112e-14,8.000000000000018,8.000000000000018
P9,Vertical,Right,1D,DT500,2,100.0,60.0,91.0,-9.0,1424,524,1948,0,0,0,0,1,9.342994138804324e-15,7.999999999999987,7.999999999999987
P9,Vertical,Right,1D,DT500,3,100.0,60.0,103.0,2.999999999999991,1526,527,2054,0,0,0,0,0,7.866011289688626e-15,8.000000000000016,8.000000000000016
P9,Vertical,Right,1D,DT500,4,100.0,60.0,105.0,5.0,1615,534,2149,0,0,0,0,0,8.484996081147141e-15,7.999999999999987,7.999999999999987
P9,Vertical,Right,1D,DT500,5,100.0,60.0,106.0,6.0,1465,531,1996,0,0,0,0,0,9.68888268694076e-15,8.000000000000016,8.000000000000016
P9,Vertical,Right,1D,DT500,6,100.0,60.0,88.0,-11.999999999999996,1951,553,2504,0,0,0,0,0,8.679643797334464e-15,7.9999999999999964,7.9999999999999964
P9,Vertical,Right,1D,DT500,0,250.0,60.0,233.0,-17.0,3447,508,3955,0,0,0,0,1,1.9337012930511257e-14,7.999999999999965,7.999999999999965
P9,Vertical,Right,1D,DT500,1,250.0,60.0,247.00000000000003,-2.9999999999999853,3115,512,3627,0,0,0,0,0,1.7523453187797196e-14,8.000000000000036,8.000000000000036
P9,Vertical,Right,1D,DT500,2,250.0,60.0,231.0,-18.999999999999982,3127,541,3668,0,0,0,0,0,1.87635554330124e-14,7.999999999999976,7.999999999999976
P9,Vertical,Right,1D,DT500,3,250.0,60.0,261.0,11.000000000000028,2692,511,3203,0,0,0,0,0,1.847874664433891e-14,8.000000000000036,8.000000000000036
P9,Vertical,Right,1D,DT500,4,250.0,60.0,244.0,-6.0,2945,544,3489,0,0,0,0,0,2.0393384793537363e-14,7.999999999999965,7.999999999999965
P9,Vertical,Right,1D,DT500,5,250.0,60.0,234.0,-16.000000000000014,2824,511,3336,0,0,0,0,0,1.8498387238960502e-14,8.000000000000036,8.000000000000036
P9,Vertical,Right,1D,DT500,6,250.0,60.0,240.0,-10.0,3145,526,3672,0,0,0,0,0,1.9679223415742536e-14,7.999999999999958,7.999999999999958
P9,Vertical,Right,1D,DT500,0,500.0,40.0,500.0,-2.9103830456733704e-14,5172,509,5682,0,0,0,0,0,4.026478807405282e-14,7.999999999999929,7.999999999999929
P9,Vertical,Right,1D,DT500,1,500.0,40.0,511.0,11.0,7409,531,7940,0,0,0,0,0,3.859268952043609e-14,8.000000000000073,8.000000000000073
P9,Vertical,Right,1D,DT500,2,500.0,40.0,510.0,9.999999999999972,4987,534,5522,0,0,0,0,0,3.9022884785756585e-14,7.999999999999926,7.999999999999926
P9,Vertical,Right,1D,DT500,3,500.0,40.0,512.0,11.99999999999994,5048,511,5560,0,0,0,0,0,3.845908279727487e-14,8.000000000000073,8.000000000000073
P9,Vertical,Right,1D,DT500,4,500.0,40.0,502.0,1.999999999999971,4941,532,5473,0,0,0,0,0,3.9405827105039846e-14,7.999999999999928,7.999999999999928
P9,Vertical,Right,1D,DT500,5,500.0,40.0,509.0,8.999999999999972,5056,524,5580,0,0,0,0,0,3.963458216549986e-14,8.000000000000073,8.000000000000073
P9,Vertical,Right,1D,DT500,6,500.0,40.0,501.0,0.9999999999999708,5287,541,5829,0,0,0,0,0,4.1541691302371e-14,7.999999999999927,7.999999999999927
P9,Vertical,Right,1D,DT500,0,500.0,60.0,515.0000000000001,15.00000000000006,4655,529,5185,0,0,0,0,0,3.901865122597003e-14,7.999999999999927,7.999999999999927
P9,Vertical,Right,1D,DT500,1,500.0,60.0,502.0,1.999999999999971,5085,521,5607,0,0,0,0,0,3.972708113253818e-14,8.000000000000071,8.000000000000071
P9,Vertical,Right,1D,DT500,2,500.0,60.0,501.0,0.9999999999999708,4683,532,5216,0,0,0,0,0,3.7759336310028376e-14,7.99999999999993,7.99999999999993
P9,Vertical,Right,1D,DT500,3,500.0,60.0,484.0,-16.0,4968,508,5477,0,0,0,0,0,3.733417238611288e-14,8.000000000000071,8.000000000000071
P9,Vertical,Right,1D,DT500,4,500.0,60.0,481.0,-18.99999999999997,4431,518,4949,0,0,0,0,0,3.498785092519545e-14,7.999999999999933,7.999999999999933
P9,Vertical,Right,1D,DT500,5,500.0,60.0,494.0,-6.0,4864,543,5408,0,0,0,0,0,3.5108228698181564e-14,8.00000000000007,8.00000000000007
P9,Vertical,Right,1D,DT500,6,500.0,60.0,489.0,-11.000000000000028,4498,517,5015,0,0,0,0,0,3.677270406291479e-14,7.999999999999931,7.999999999999931
P9,Vertical,Right,1D,DT500,0,100.0,40.0,113.0,13.000000000000009,1304,507,1811,0,0,0,0,0,9.811740289445456e-15,7.999999999999984,7.999999999999984
P9,Vertical,Right,1D,DT500,1,100.0,40.0,118.0,18.0,1616,515,2132,0,0,0,0,0,1.054154666935233e-14,8.000000000000014,8.000000000000014
